"Country","Day","Confirmed","Deaths","Recovered"
"Brunei",1,1,0,0
"Brunei",2,1,0,0
"Brunei",3,11,0,0
"Brunei",4,11,0,0
"Brunei",5,37,0,0
"Brunei",6,40,0,0
"Brunei",7,50,0,0
"Brunei",8,54,0,0
"Brunei",9,56,0,0
"Brunei",10,68,0,0
"Brunei",11,75,0,0
"Brunei",12,78,0,1
"Brunei",13,83,0,2
"Brunei",14,88,0,2
"Brunei",15,91,0,2
"Brunei",16,104,0,2
"Brunei",17,109,0,2
"Brunei",18,114,0,5
"Brunei",19,115,0,11
"Brunei",20,120,1,25
"Brunei",21,126,1,34
"Brunei",22,127,1,38
"Brunei",23,129,1,45
"Brunei",24,131,1,52
"Brunei",25,133,1,56
"Brunei",26,134,1,65
"Brunei",27,135,1,66
"Brunei",28,135,1,73
"Brunei",29,135,1,82
"Brunei",30,135,1,85
"Brunei",31,135,1,91
"Brunei",32,135,1,92
"Brunei",33,136,1,99
"Brunei",34,136,1,104
"Brunei",35,136,1,106
"Brunei",36,136,1,107
"Brunei",37,136,1,107
"Brunei",38,136,1,108
"Brunei",39,136,1,108
"Brunei",40,136,1,112
"Brunei",41,137,1,113
"Brunei",42,138,1,115
"Brunei",43,138,1,116
"Brunei",44,138,1,116
"Brunei",45,138,1,117
"Brunei",46,138,1,119
"Brunei",47,138,1,120
"Brunei",48,138,1,121
"Brunei",49,138,1,123
"Brunei",50,138,1,124
"Brunei",51,138,1,124
"Brunei",52,138,1,124
"Brunei",53,138,1,124
"Brunei",54,138,1,124
"Brunei",55,138,1,126
"Brunei",56,138,1,128
"Brunei",57,138,1,130
"Brunei",58,138,1,131
